Ville,Hotel,Start,Description,price,Logement
    Hammamet Nord    ,      NOVOSTAR NAHRAWESS THALASSO    ,"<img src=""images/etoile/stars_4.png""/>","
      Cap sur le rêve et le bien-être...

Face à la Méditerrannée, laissez vous caressez par les embruns, réchauffer par la douceur du soleil, ennivrez pa      ... 
","
      288.000TND
","
        Logement petit déjeuner      "
    Sousse    ,      ORIENT PALACE SOUSSE    ,"<img src=""images/etoile/stars_4.png""/>","
      Nous avons le grand plaisir de vous inviter à découvrir, notre lhôtel ORIENT PALACE Resort & Spa , situé au bord dune belle plage de sable fin, à 3       ... 
","
      48.000TND","
        Logement petit déjeuner      "
    Hammamet Sud    ,      LA PLAYA HOTEL CLUB    ,"<img src=""images/etoile/stars_3.png""/>","
      Situé sur lune des plus belles plages de la méditerranée, LA PLAYA BEACH CLUB sera sans exception le lieu marquant de lété 2013. 

En satisfaisant      ... 
","
      288.000TND
","
        Logement petit déjeuner      "
    Sousse    ,      HOTEL KANTA KANTAOUI SOUSSE    ,"<img src=""images/etoile/stars_4.png""/>","
      Lhôtel Kanta est un hôtel 4 étoiles à Sousse qui se trouve implanté dans un magnifique parc avec des centaines de palmiers et doliviers. 
Notre hôt      ... 
","
      54.000TND","
        Logement petit déjeuner      "
    Sousse    ,      MARHABA ROYAL SALEM    ,"<img src=""images/etoile/stars_4.png""/>","
      Lhôtel  Marhaba Royal Salem  émerge au milieu de son luxuriant jardin de 7 hectares au bord d'une plage au sable d'or et du bleu infini de la méditer      ... 
","
      324.000TND
","
        Logement petit déjeuner      "
    Sousse    ,      MARHABA SALEM  RESORT    ,"<img src=""images/etoile/stars_4.png""/>","
      Directement en front de mer, entre le centre ville et le port de plaisance El Kantaoui, l'hôtel Marhaba Salem est implanté dans un parc de 7 hectares       ... 
","
      54.390TND","
        Logement petit déjeuner      "
    Sousse    ,      EL KANTAOUI CENTER    ,"<img src=""images/etoile/stars_4.png""/>","
      El Kantaoui Center Sousse 4* est situé à 150 mètres de la plage et du port de plaisance de Port El Kantaoui

Il est composé de 347 unités réparties       ... 
","
      326.340TND
","
        Logement petit déjeuner      "
    Sousse    ,      MARHABA BEACH    ,"<img src=""images/etoile/stars_4.png""/>","
      Grâce à une large gamme de commodités et à des services professionnels, l'hôtel Marhaba Beach Sousse vous assure de passer un séjour agréable.      ... 
","
      54.390TND","
        Logement petit déjeuner      "
    Sousse    ,      El Ksar Resort & Thalasso    ,"<img src=""images/etoile/stars_4.png""/>","
      A Lhôtel EL KSAR, tout a été soigneusement pensé pour que le séjour des grands et des petits s\'y déroule dans une ambiance sympathique. Un service p      ... 
","
      326.340TND
","
        Demi pension      "
    Mahdia    ,      CLUB THAPSUS    ,"<img src=""images/etoile/stars_4.png""/>","
      L\\\'hôtel est situé dans la zone Touristique de Mahdia. Capitale historique de la Dynastie des Fatimides fondateurs de la Capitale Egyptienne la cair      ... 
","
      57.600TND","
        Logement petit déjeuner      "
    Tabarka    ,      DAR ISMAIL TABARKA    ,"<img src=""images/etoile/stars_5.png""/>","
      L'hôtel DAR ISMAIL ouvert en 2002, est considéré comme le joyau de la région de Tabarka, offrant un cadre typiquement Tabarkois et conçu dans un style      ... 
","
      345.600TND
","
        Logement petit déjeuner      "
    Tozeur     ,      HOTEL HAFSI TOZEUR    ,"<img src=""images/etoile/stars_3.png""/>","
      Bienvenue à l'Hôtel Hafsi, votre Résidence aux portes du Sahara.

Situé à 2 kilomètres de l'aéroport international de Tozeur, l'Hôtel Hafsi est égal      ... 
","
      57.750TND","
        Logement petit déjeuner      "
    Zarzis    ,      VINCCI SAFIRA PALMS    ,"<img src=""images/etoile/stars_4.png""/>","
      Lhôtel Vincci Safira Palms 4* est situé à Zarzis, au sud-est de Tunis.
Il dispose de quatre restaurants et de différents bars, en plus dune zone co      ... 
","
      346.500TND
","
        Demi pension +      "
    Djerba    ,      Dar Jerba Narjess    ,"<img src=""images/etoile/stars_4.png""/>","
      Le Narjess fait partie des cinq hôtels du mastodonte Dar Djerba, le plus grand complexe de Tunisie, voir même d'Afrique avec ses 3 400 lits pour 1 400      ... 
","
      60.000TND","
        Demi pension +      "
    Tabarka    ,      MARINA PRESTIGE HOTEL RESIDENCE    ,"<img src=""images/etoile/stars_4.png""/>","
      Situation :

Situé à TABARKA facilement accessible entre tabarka ville et le vieux port 

Hébergement :

L'hôtel Marina Prestige dispose 49 cham      ... 
","
      360.000TND
","
        Logement petit déjeuner      "
    Hammamet Nord    ,      VINCCI NOZHA BEACH    ,"<img src=""images/etoile/stars_4.png""/>","
      Hôtel entièrement rénové en 2008/09 qui a réouvert ses portes en juin 2009. Il jouit d'une situation fantastique face à une belle plage de sable fin.       ... 
","
      61.800TND","
        Demi pension      "
    Sousse    ,      HOTEL RIADH PALMS    ,"<img src=""images/etoile/stars_4.png""/>","
      Tour du monde de détente et de divertissement au Riadh Palms où la tradition, le lux et la technologie la plus avancée ce sont joints pour mettre à vo      ... 
","
      370.800TND
","
        Logement petit déjeuner      "
    Hammamet Sud    ,      LELLA BAYA    ,"<img src=""images/etoile/stars_4.png""/>","
      L hôtel vincci lella baya est situe dans la nouvelle station yasmine hammamet, en front de mer. il a ete concu dans une architecture traditionnelle et      ... 
","
      62.130TND","
        Demi pension      "
    Hammamet Sud    ,      SENTIDO PHENICIA    ,"<img src=""images/etoile/stars_4.png""/>","
      Phenicia est un hôtel 4 étoiles à Hammamet. Après une rénovation complète ayant duré 14 mois, cet hôtel de bord de mer offre désormais une nouvelle ap      ... 
","
      372.780TND
","
        Demi pension      "
    Hammamet Sud    ,      HOTEL ATRIUM    ,"<img src=""images/etoile/stars_4.png""/>","
      Lhôtel LATRIUM YASMINE HAMMAMET**** est dun style néo colonial, dont les caractéristiques de confort, de design et d\'harmonie des couleurs, lui co      ... 
","
      64.800TND","
        Logement petit déjeuner      "
    Monastir    ,      REGENCY MONASTIR    ,"<img src=""images/etoile/stars_4.png""/>","
      Situation :

Situé au cur de la Marina de Monastir et à 5 minutes à pied du centre ville, de la Médina, du fort « Ribat » et de lesplanade du maus      ... 
","
      388.800TND
","
        Logement petit déjeuner      "
    Douz    ,      Campement Zmela Ksar Ghilan    ,,"
      Tunisien de naissance et de cur, directeur de course internationale (auto-moto), pilote-formateur diplômé, je vous propose de découvrir les trésors d      ... 
","
      66.000TND","
        Demi pension      "
    Tozeur     ,      LA PALMERAIE TOZEUR    ,"<img src=""images/etoile/stars_4.png""/>","
      La Palmeraie, situé à Tozeur en Tunisie offre tous les atouts pour des vacances réussies : cadre agréable, chambres confortables, accueil francophone       ... 
","
      396.000TND
","
        Logement petit déjeuner      "
    Monastir    ,      VINCCI ROSA BEACH THALASSO & SPA    ,"<img src=""images/etoile/stars_4.png""/>","
      Le Rosa Beach Thalasso and Spa est situé sur la côte orientale de la Méditerranée, entre Sousse et Monastir, sur une plage de sable fin juste en face       ... 
","
      69.000TND","
        Demi pension      "
    Djerba    ,      SEABEL ALADIN DJERBA    ,"<img src=""images/etoile/stars_3.png""/>","
      Situation
Au bord de la plage de sable en pente douce. À 8 km de Midoun, à 25 km d'Houmt Souk et à 30 km (40 minutes) de l'aéroport de Djerba.¶

In      ... 
","
      414.000TND
","
        Demi pension +      "
    Sousse    ,      MARHABA PALACE    ,"<img src=""images/etoile/stars_4.png""/>","
      Ce joyau de lhôtellerie se distingue par son emplacement unique, directement sur une plage de sable fin, en pleine station balnéaire du Port El Kanta      ... 
","
      69.000TND","
        Logement petit déjeuner      "
    Hammamet Sud    ,      EL MOURADI MENZAH    ,"<img src=""images/etoile/stars_4.png""/>","
      Situé au cur de la station de Yasmine Hammamet, face à la plage, à 200 mètres du parc Carthage Land et près de deux parcours de golf, El Mouradi El      ... 
","
      414.000TND
","
        Logement petit déjeuner      "
    Djerba    ,      VINCCI HELIOS BEACH    ,"<img src=""images/etoile/stars_4.png""/>","
      En première ligne dune impressionnante plage paradisiaque de lîle de Djerba, où confluent la mer Méditerranée et le désert du Sahara, il sétend sur      ... 
","
      72.720TND","
        Demi pension +      "
    Hammamet Sud    ,      VINCCI MARILLIA    ,"<img src=""images/etoile/stars_4.png""/>","
      Hôtel moderne qui plaira aux familles et c'est sans aucun doute les enfants qui voudront y retourner. Tout est prévu pour eux, discothèque, piscine, a      ... 
","
      436.320TND
","
        Demi pension +      "
    Djerba    ,      SENTIDO DJERBA BEACH    ,"<img src=""images/etoile/stars_4.png""/>","
      Cet hôtel de bord de mer à l'ambiance familiale est niché dans de vastes jardins bien entretenus. Il compte 183 chambres réparties sur 2 étages.      ... 
","
      75.480TND","
        Demi pension      "
    Hammamet Nord    ,      Radisson Blu Resort & Thalasso Hammamet    ,"<img src=""images/etoile/stars_5.png""/>","
      Localisé à Hammamet, le  Blu Resort & Thalasso Hammamet dispose d'une piscine et d'un jardin. Le bar bénéficie d'une terrasse avec plusieurs coins sal      ... 
","
      452.880TND
","
        Logement petit déjeuner      "
    Monastir    ,      EL MOURADI SKANES    ,"<img src=""images/etoile/stars_4.png""/>","
      Situé dans la région de Skanès, à 7 km de laéroport Habib-Bourguiba de Monastir, à 8 km de la ville de Sousse et à 13 km de la ville de Monastir, lh      ... 
","
      75.750TND","
        Logement petit déjeuner      "
    Hammamet Sud    ,      LAICO HAMMAMET    ,"<img src=""images/etoile/stars_5.png""/>","
      LAICO HAMMAMET possède un style unique s'inspirant de l'esprit des paquebots de luxe, dont les caractéristiques de confort, de design et d'harmonie de      ... 
","
      454.500TND
","
        Logement petit déjeuner      "
    Hammamet Sud    ,      ONA FLORA PARK    ,"<img src=""images/etoile/stars_4.png""/>","
      Hôtel de charme de petite capacité, à 8km du centre-ville dHammamet, 65km de laéroport de Tunis et 100km de laéroport de Monastir.
Au nord du golf      ... 
","
      80.400TND","
        Demi pension      "
    Hammamet Sud    ,      CHICH KHAN HOTEL    ,"<img src=""images/etoile/stars_4.png""/>","
      Iberostar Chich Khan Hotel vous séduira par son cadre luxueux, son architecture berbère, ses peintures à l'ancienne, ses pierres sculptées et sa colle      ... 
","
      482.400TND
","
        Soft All In      "
    Tozeur     ,      GOLDEN YASMIN RAS EL AIN    ,"<img src=""images/etoile/stars_4.png""/>","
      le Golden Yasmin Ras El Ain vous offre une escale de confort et de fraîcheur au coeur du sud tunisien. Derrière l'hôtel à Tozeur commence l'étendue im      ... 
","
      80.500TND","
        Logement petit déjeuner      "
    Mahdia    ,      MAHDIA PALACE THALASSO    ,"<img src=""images/etoile/stars_5.png""/>","
      le Mahdia Palace est situé dans un parc de 6 hectares en face de l'une des plus belles plages de Tunisie à 3 kms du centre ville de l'Authentique Mahd      ... 
","
      483.000TND
","
        Logement petit déjeuner      "
    Hammamet Sud    ,      IBEROSTAR AVERROES    ,"<img src=""images/etoile/stars_4.png""/>","
      Tout indiqué pour ceux qui veulent passer des vacances reposantes dans le cadre d'un hôtel de standing, l'Iberostar Averroes possède aussi l'avantage       ... 
","
      80.500TND","
        Logement petit déjeuner      "
    Monastir    ,      ROYAL THALASSA MONASTIR    ,"<img src=""images/etoile/stars_5.png""/>","
      Situé sur une magnifique plage à quelques minutes de laéroport International de Monastir, le Royal Thalassa Monastir*****, fleuron de la chaîne tunis      ... 
","
      483.000TND
","
        Logement petit déjeuner      "
    Hammamet Sud    ,      ALHAMBRA THALASSO    ,"<img src=""images/etoile/stars_5.png""/>","
      Lhôtel Alhambra Thalasso, membre de la prestigieuse chaîne « Warwick International Hôtels » est un luxueux hôtel 5*, situé dans le cadre enchanteur e      ... 
","
      84.000TND","
        Logement petit déjeuner      "
    Djerba    ,      Dar Jerba Zahra    ,"<img src=""images/etoile/stars_3.png""/>","
      Le complexe Club Zahra 3* (normes locales) est édifié sur 45 hectares au bord d'une des plus belles plages de l'île : à 6 km de Midoun, à 19 km de Hou      ... 
","
      504.000TND
","
        Soft All In      "
    Sousse    ,      EL MOURADI CLUB KANTAOUI    ,"<img src=""images/etoile/stars_4.png""/>","
      Implanté dans un parc fleuri, au centre de la station de Port El Kantaoui et le long dune magnifique plage de sable blanc El Mouradi Club Kantaoui es      ... 
","
      84.000TND","
        Logement petit déjeuner      "
    Sousse    ,      EL MOURADI PORT EL KANTAOUI    ,"<img src=""images/etoile/stars_4.png""/>","
      Implanté au cur de la station intégrée de Port El Kantaoui, l'hôtel sétend le long dune plage de sable fin. Avec ses bâtiments blancs à larchitect      ... 
","
      504.000TND
","
        Logement petit déjeuner      "
    Hammamet Sud    ,      EL MOURADI HAMMAMET    ,"<img src=""images/etoile/stars_5.png""/>","
      Situé au bord d'une large plage de sable fin, au coeur de la nouvelle station touristique et balnéaire au Sud de Hammamet, à 200 mètres du centre de l      ... 
","
      85.200TND","
        Logement petit déjeuner      "
    Sousse    ,      LTI BELLEVUE  PARK    ,"<img src=""images/etoile/stars_5.png""/>","
      Situé en première ligne d'une immense plage de sable fin, l'hôtel Riu Bellevue Park est un complexe résidentiel élégant qui donne sur de vastes jardin      ... 
","
      511.200TND
","
        Demi pension +      "
    Mahdia    ,      NOUR PALACE RESORT & THALASSO    ,"<img src=""images/etoile/stars_5.png""/>","
      Niché sur l'une des plus belles plages de sable nacré de la Tunisie, le  Nour Palace se situe à 6 km du centre ville à 45 km de l'aéroport de Monastir      ... 
","
      86.250TND","
        Demi pension      "
    Hammamet Nord    ,      LE SULTAN    ,"<img src=""images/etoile/stars_4.png""/>","
      le sultan offre une ambiance maritime de la déco au personnel. On ne parle pas d'un petit bateau de pêche mais plutôt d'un grand paquebot de luxe qui       ... 
","
      517.500TND
","
        Logement petit déjeuner      "
    Hammamet Sud    ,      Tui Blu Oceana Suites    ,"<img src=""images/etoile/stars_5.png""/>","
      Lhôtel Palace Oceana est installé au bord d'une des plus belles plages de Tunisie. Il dispose d'un centre de bien-être, de piscines, d'un sauna et de      ... 
","
      87.500TND","
        Logement petit déjeuner      "
    Hammamet Sud    ,      LE ROYAL HAMMAMET    ,"<img src=""images/etoile/stars_5.png""/>","
      LHôtel "" Le Royal Hammamet "" fait partie de la chaîne « Le Royal » spécialisée dans la gestion des hôtels de catégorie de 5* plus.      ... 
","
      525.000TND
","
        Logement petit déjeuner      "
    Hammamet Sud    ,      CONCORDE MARCO POLO    ,"<img src=""images/etoile/stars_4.png""/>","
      Le Riu Marco Polo Hammamet rassemble de nombreuses possibilités de distractions dans un cadre attrayant. Ce club se situe le long de la plage, dans la      ... 
","
      88.830TND","
        Demi pension      "
    Sousse    ,      HASDRUBAL THALASSA & SPA PORT EL KANTAOUI    ,"<img src=""images/etoile/stars_4.png""/>","
      Hasdrubal Port El Kantaoui est un hôtel 4 étoiles situé au cur de la station touristique de Port El Kantaoui. De superbes jardins qui sétagent jusqu      ... 
","
      532.980TND
","
        Logement petit déjeuner      "
    Mahdia    ,      IBEROSTAR ROYAL EL MANSOUR    ,"<img src=""images/etoile/stars_5.png""/>","
      Lhôtel Iberostar Royal El Mansour, idéal pour toute la famille, est situé à Mahdia, une zone tranquille à côté dune longue plage de sable fin baigné      ... 
","
      92.400TND","
        Logement petit déjeuner      "
    Gammarth    ,      HOTEL PHEBUS    ,"<img src=""images/etoile/stars_4.png""/>","
      Cet hôtel à l'architecture original, est idéalement situé sur une très belle plage de sable fin sur les côtes de Carthage, et à seulement 10 mn de la       ... 
","
      554.400TND
","
        Logement petit déjeuner      "
    Sousse    ,      IBEROSTAR DIAR EL ANDALOUS    ,"<img src=""images/etoile/stars_5.png""/>","
      Lhôtel Iberostar Diar El Andalous est une destination parfaite pour des vacances réussies en Tunisie en raison dun emplacement magnifique parmi des       ... 
","
      93.600TND","
        Logement petit déjeuner      "
    Douz    ,      SAHARA DOUZ    ,"<img src=""images/etoile/stars_4.png""/>","
      Depuis l'hôtel, les paysages du levé du soleil et du crépuscule, sur l'horizon infini de dunes, sont d'une beauté fascinante.      ... 
","
      561.600TND
","
        Demi pension      "
    Tozeur     ,      MAGIC KSAR EL JERID    ,"<img src=""images/etoile/stars_4.png""/>","
      Merveilleux hôtel de charme à Tozeur, point de départ idéal pour toutes vos excursions au sud tunisien, lhôtel Ksar Jerid vous ravira tant par son ar      ... 
","
      94.600TND","
        Demi pension      "
    Monastir    ,      IBEROSTAR SELECTION KURIAT PALACE    ,"<img src=""images/etoile/stars_5.png""/>","
      Iberostar Selection Kuriat Palace est un hôtel 5 étoiles, idéal pour fêter larrivée du printemps : véritable oasis au bord de la Méditerranée tunisie      ... 
","
      567.600TND
","
        Logement petit déjeuner      "
    Sousse    ,      SEABEL ALHAMBRA PORT EL KANTAOUI    ,"<img src=""images/etoile/stars_4.png""/>","
      Implanté dans un parc de 11 hectares au cour de la station de Port El Kantaoui, au bord 'une belle plage privée et longeant un magnifique terrain de g      ... 
","
      98.790TND","
        Demi pension      "
    Sousse    ,      EL MOURADI PALACE    ,"<img src=""images/etoile/stars_5.png""/>","
      En bordure dune superbe plage, au cur de la station de Port El Kantaoui et face à son parcours de golf de 36 trous, l'hôtel El Mouradi Palace est l      ... 
","
      592.740TND
","
        Logement petit déjeuner      "
    Djerba    ,      HOTEL RADISSON BLU PALACE RESORT & THALASSO DJERBA    ,"<img src=""images/etoile/stars_5.png""/>","
      Idéalement situé dans la zone touristique, le Radisson Blu Resort & Thalasso donne directement sur la plage bordée d'une verdure luxuriante et d'une s      ... 
","
      102.000TND","
        Logement petit déjeuner      "
    Hammamet Sud    ,      GOLDEN TULIP TAJ SULTAN    ,"<img src=""images/etoile/stars_5.png""/>","
      Offrant confort, espace et raffinement, le Vincci Taj Sultan conviendra bien aux familles qui recherchent un hôtel proposant les services d'un club, l      ... 
","
      612.000TND
","
        Logement petit déjeuner      "
    Hammamet Sud    ,      SAPHIR PALACE    ,"<img src=""images/etoile/stars_5.png""/>","
      LHôtel Iberostar Saphir Palace est un luxueux complexe de vacances qui mettra à la disposition des clients qui décideront dy séjourner une excellent      ... 
","
      102.020TND","
        Demi pension      "
    Djerba    ,      HARI CLUB BEACH RESORT    ,"<img src=""images/etoile/stars_4.png""/>","
      Situé sur la cote sud de l'ile de Djerba à Aghir, face à la mer sur une belle plage de sable fin, cet hotel inspiré par l'architecture locale se fond       ... 
","
      612.120TND
","
        Soft All In      "
    Bizerte    ,      Nour Congress & Ressort    ,"<img src=""images/etoile/stars_4.png""/>","
      Face à la mer, au bord d'une longue plage de sable blanc, l'Hôtel Nour est un hôtel de charme à 45 minutes de l'aéroport international Tunis Carthage       ... 
","
      108.000TND","
        Logement petit déjeuner      "
    Sousse    ,      EL MOURADI PALM MARINA    ,"<img src=""images/etoile/stars_5.png""/>","
      Construit dans un style arabo-andalou, à proximité de la Marina de Port El Kantaoui et directement sur une plage de sable fin.El Mouradi Palm Marina e      ... 
","
      648.000TND
","
        Logement petit déjeuner      "
    Djerba    ,      HASDRUBAL THALASSA & SPA DJERBA    ,"<img src=""images/etoile/stars_5.png""/>","
      HASDRUBAL THALASSA & Spa, dont le confort feutré, larchitecture orientale vous immergent instantanément dans un autre univers:arcades,moucharabiehs,       ... 
","
      113.400TND","
        Logement petit déjeuner      "
    Hammamet Sud    ,      The Russelior Hôtel & Spa    ,"<img src=""images/etoile/stars_5.png""/>","
      Le Russelior Hotel & Spa est un luxueux hôtel situé dans le complexe de Yasmine Hammamet. L'hôtel est à seulement 100 mètres du port de plaisance et à      ... 
","
      680.400TND
","
        Logement petit déjeuner      "
    Sousse    ,      MOVENPICK RESORT & MARINE SPA SOUSSE    ,"<img src=""images/etoile/stars_5.png""/>","
      Cet hôtel situé en plein centre-ville est adapté aux séjours en famille et donne sur une magnifique plage de 300 mètres. La propriété donne aussi sur       ... 
","
      128.800TND","
        Logement petit déjeuner      "
    Gammarth    ,      RAMADA PLAZA    ,"<img src=""images/etoile/stars_5.png""/>","
      Le RAMADA PLAZA Tunis est superbement situe sur les cotes de Carthage à 20 Km de l'aéroport de Tunis Carthage , a 8 km des ruimes romaines de Carthage      ... 
","
      772.800TND
","
        Logement petit déjeuner      "
    Sousse    ,      CONCORDE GREEN PARK PALACE    ,"<img src=""images/etoile/stars_5.png""/>","
      Lhôtel Green Park, situé à Sousse, est un véritable havre de paix qui vous enchantera avec son architecture et sa décoration raffinée.

Il dispose       ... 
","
      146.900TND","
        Demi pension      "
    Sousse    ,      SOUSSE PALACE    ,"<img src=""images/etoile/stars_5.png""/>","
      L'Hôtel Sousse Palace un excellent hôtel est construit sur 12 étages, en plein centre de la ville de Sousse et au bord d'une belle plage de sable fin,      ... 
","
      881.400TND
","
        Logement petit déjeuner      "
    Tunis    ,      EL MOURADI AFRICA TUNIS    ,"<img src=""images/etoile/stars_5.png""/>","
      A proximité du centre des affaires et du centre administratif de Tunis, il vous permet d'être immédiatement efficace en vous laissant l'opportunité de      ... 
","
      149.160TND","
        Logement petit déjeuner      "
    Tunis    ,      TUNIS GRAND HOTEL    ,"<img src=""images/etoile/stars_5.png""/>","
      Notre hôtel 5 étoiles, flambant neuf, est situé à 10 minutes de l'aéroport Tunis Carthage. Tunis Grand Hôtel est proche du nouveau centre économique d      ... 
","
      894.960TND
","
        Logement petit déjeuner      "
    Tabarka    ,      LA CIGALE THALASSO & SPA    ,"<img src=""images/etoile/stars_5.png""/>","
      Linstar de La Cigale Hotel à Doha au Qatar, le nouveau complexe hôtelier 5 étoiles La Cigale proposera en Tunisie un hébergement combinant luxe, qual      ... 
","
      150.650TND","
        Logement petit déjeuner      "
    Hammamet Sud    ,      HASDRUBAL THALASSA & SPA YASMINE HAMMAMET    ,"<img src=""images/etoile/stars_5.png""/>","
      L'Hasdrubal Thalassa est un très bel hôtel , la décoration est plus vive, le marbre veiné du lobby et des salles de bains commence à passer de mode. S      ... 
","
      903.900TND
","
        Logement petit déjeuner      "
    Djerba    ,      PALM AZUR DJERBA    ,"<img src=""images/etoile/stars_4.png""/>","
      Une oasis de calme au cur dun magnifique jardin verdoyant, le ClubHotel Riu Palm Azur vous promet des heures de détente dans un agréable cadre médit      ... 
","
      228.000TND","
        All Inclusive      "
    Tunis    ,      NOVOTEL    ,"<img src=""images/etoile/stars_4.png""/>","
      Le Novotel Tunis est idéalement situé sur l'avenue Mohamed V au plein coeur du quartier des affaires et à proximité du centre ville de Tunis. A seulem      ... 
","
      1368.000TND
","
        Logement petit déjeuner      "
    Djerba    ,      HASDRUBAL PRESTIGE THALASSA    ,"<img src=""images/etoile/stars_5.png""/>","
      L'hôtel Hasdrubal Thalassa Prestige *****Luxe de Djerba est un établissement de grande classe qui paresse au soleil sur la plus belle plage de l'île t      ... 
","
      228.000TND","
        Logement petit déjeuner      "
    Djerba    ,      ROYAL GARDEN PALACE    ,"<img src=""images/etoile/stars_5.png""/>","
      L'hôtel Riu Palace Royal Garden est construit en forme de demi-lune, donnant sur la plage. Il se dresse au milieu d'un grand jardin de 14 hectares.      ... 
","
      1368.000TND
","
        All Inclusive      "
    Hammamet Nord    ,      HOTEL LES ORANGERS BEACH RESORT    ,"<img src=""images/etoile/stars_4.png""/>","
      Situé au bord d'une mer immaculée, sur une superbe plage de sable fin, l'hôtel a une vue imprenable sur la pittoresque forteresse de Hammamet et le go      ... 
","
      243.800TND","
        All Inclusive      "
    Gammarth    ,      EL MOURADI GAMMARTH    ,"<img src=""images/etoile/stars_5.png""/>","
      L hôtel est entièrement rénové, dans un cadre enchanteur et relaxant reflétant superbement larchitecture de la tradition du pays      ... 
","
      1462.800TND
","
        Logement petit déjeuner      "
