Hotel_name,Adresse,Description,Distance,Details_Link
 Jasmin ,  Nabeul   ," Situé à seulement 7 km du musée Neapolis à Nabeul, le Jasmin propose des hébergements dotés d'une terrasse, d'un jardin et d'une piscine extérieure ouverte toute l'année.  ", 5 km du centre ,https://www.booking.com/hotel/tn/jasmin-nabeul.fr.html
" Valencia II-10 - Confort, elegance et standing a 500 m de la plage ",  Nabeul   ," Valencia II-10 - Confort, elegance et standing a 500 m de la plage is set in Nabeul and offers a bar and a terrace.  "," 1,6 km du centre ",https://www.booking.com/hotel/tn/confort-elegance-et-standing-a-500-m-de-la-plage-valencia-ii-10.fr.html
" Valencia II-3 - Confort, elegance et standing a 500 m de la plage ",  Nabeul   ," Set in Nabeul in the Nabeul Governorate region, Valencia II-3 - Confort, elegance et standing a 500 m de la plage features a patio and city views.  "," 1,6 km du centre ",https://www.booking.com/hotel/tn/confort-elegance-et-standing-a-500-m-de-la-plage.fr.html
 Appartamento nuovo e moderno ,  Nabeul   ," Appartamento nuovo e moderno offers accommodation in Nabeul, 2.2 km from Neapolis Museum. This air-conditioned apartment features 2 bedrooms, a TV, and a kitchen.  "," 1,9 km du centre ",https://www.booking.com/hotel/tn/appartamento-nuovo-e-moderno.fr.html
 Superb Apartment Ideal For Couples 5 Mn From Beach ,  Nabeul   ," Featuring pool views, Superb Apartment Ideal For Couples 5 Mn From Beach provides accommodation with a garden and a patio, around 6 km from Neapolis Museum.  "," 4,2 km du centre ",https://www.booking.com/hotel/tn/superb-apartment-ideal-for-couples-5-mn-from-beach.fr.html
 Chez famille Djelassi (Studio) ,  Nabeul   ," Featuring garden views, Chez famille Djelassi (Studio) provides accommodation with a garden and a terrace, around 2.6 km from Neapolis Museum.  "," 1,9 km du centre ",https://www.booking.com/hotel/tn/chez-famille-djelassi-studio.fr.html
 Chez famille Djelassi (Wohnung) ,  Nabeul   ," Chez famille Djelassi (Wohnung) offers accommodation in Nabeul, 2.4 km from Neapolis Museum. The nearest airport is Enfidha-Hammamet International Airport, 64 km from the apartment. "," 1,9 km du centre ",https://www.booking.com/hotel/tn/chez-famille-djelassi-wohnung.fr.html
 GHASSEN 17 ,  Nabeul   ," Situé à Nabeul, le GHASSEN 17 dispose d'un jardin, d'un barbecue et d'une terrasse. Cet hébergement climatisé se trouve à 5 km du musée de Neapolis.  "," 4,5 km du centre ",https://www.booking.com/hotel/tn/ghassen-17.fr.html
 L'appartement idéal pour vos vacances en famille ou entre amis ,  Nabeul   ," Situé à Nabeul, L'appartement idéal pour vos vacances en famille ou entre amis dispose de la climatisation, d'une piscine privée, d'un patio et d'un balcon. Vous bénéficierez d'une vue sur la ville.  "," 4,9 km du centre ",https://www.booking.com/hotel/tn/l-39-appartement-ideal-pour-vos-vacances-en-famille-ou-entre-amis.fr.html
 DAR ZOHRA ,  Nabeul   ," Set in Nabeul in the Nabeul Governorate region, DAR ZOHRA has a terrace. The air-conditioned accommodation is 23 km from Gammarth.  ", 39 km du centre ,https://www.booking.com/hotel/tn/dar-zohra-nabeul1234567891011121314151617181920212223.fr.html
 Maison Myriam ,  Nabeul   ," Située à Nabeul, à 1,8 km du musée Neapolis, la Maison Myriam offre une vue sur la ville. Toutes les chambres disposent d'une cuisine et d'une salle de bains privative.  "," 1,3 km du centre ",https://www.booking.com/hotel/tn/maison-myriam.fr.html
 Appartement Nabeul ,  Nabeul   ," L'Appartement Nabeul est un logement indépendant situé à Nabeul. Une connexion Wi-Fi y est accessible gratuitement. L'hébergement comporte une télévision, la climatisation et un balcon.  "," 1,4 km du centre ",https://www.booking.com/hotel/tn/nabeul-plage.fr.html
 Villa Kenza ,  Nabeul   , La Villa Kenza est un hébergement indépendant situé à Nabeul. Une connexion Wi-Fi est accessible gratuitement. L'hébergement dispose de la climatisation et d'une télévision à écran plat.  ," 1,3 km du centre ",https://www.booking.com/hotel/tn/villa-kenza.fr.html
 La maisonette Neapolis ,  Nabeul   ," Doté d'un jardin, l'établissement La maisonette Neapolis est situé à Nabeul, à moins de 2,3 km du musée Neapolis. Vous pourrez profiter d'un sauna sur place.  "," 1,8 km du centre ",https://www.booking.com/hotel/tn/la-maisonette-neapolis.fr.html
 Hammamet Ela Apartments ,  Nabeul   ," Le Hammamet Ela Apartments propose des appartements à Nabeul, à 6 km du musée Néapolis.  "," 4,3 km du centre ",https://www.booking.com/hotel/tn/apartments-hammamet.fr.html
 Dar Kamy ,  Nabeul   ," Situé à Nabeul, à 5 km du musée de Néapolis, le Dar Kamy propose un restaurant, un parking privé gratuit, une piscine extérieure, une salle de sport, un bar, un salon commun et un jardin.  "," 3,6 km du centre ",https://www.booking.com/hotel/tn/dar-kamy.fr.html
 Hotel Carlton ,"  Centre de Tunis, Tunis   "," L'Hôtel Carlton est situé au cœur de Tunis, à seulement 500 mètres de la Médina. Il propose un hébergement 3 étoiles, un service d'étage et une connexion Wi-Fi gratuite.  ", 250 m du centre ,https://www.booking.com/hotel/tn/carlton-tunis.fr.html
 Ibis Tunis ,  Tunis   , Cet hôtel est situé à 3 km du centre de Tunis et à 7 km de l'aéroport de Tunis-Carthage. Il possède des chambres climatisées dotées d'une connexion Wi-Fi gratuite.  ," 1,2 km du centre ",https://www.booking.com/hotel/tn/ibis-tunis.fr.html
 El Mouradi Hotel Africa Tunis ,"  Centre de Tunis, Tunis   "," Situé à Tunis, l'établissement El Mouradi Hotel Africa Tunis est implanté sur la célèbre avenue Habib Bourguiba, à 15 minutes de route de l'aéroport de Tunis-Carthage.  ", 300 m du centre ,https://www.booking.com/hotel/tn/africa-tunis.fr.html
 Royal Victoria ,"  Médina, Tunis   "," Doté d’un restaurant, d’une terrasse, d’un salon commun et d’un parking privé gratuit, le Royal Victoria propose des hébergements avec une télévision par satellite à écran plat et une salle de bains... ", 950 m du centre ,https://www.booking.com/hotel/tn/royal-victoria.fr.html
 Hôtel le calife ,"  Médina, Tunis   "," Situé dans le quartier de la médina de Tunis, l'Hôtel le calife possède une réception ouverte 24h/24, un service d'étage, une connexion Wi-Fi gratuite dans l'ensemble de ses locaux ainsi que des... "," 1,1 km du centre ",https://www.booking.com/hotel/tn/le-calife.fr.html
 El Hana International ,"  Centre de Tunis, Tunis   "," Situé au cœur de Tunis, l'El Hana International dispose d'une terrasse et offre une vue sur la ville. Vous pourrez profiter d'un bar sur place.  ", 500 m du centre ,https://www.booking.com/hotel/tn/el-hana-international.fr.html
 Yadis Ibn Khaldoun ,  Tunis   ," Implanté au cœur du quartier des affaires de Tunis, le Yadis Ibn Khaldoun se trouve à 20 minutes de l'aéroport de Tunis-Carthage.  "," 1,6 km du centre ",https://www.booking.com/hotel/tn/yadis-ibn-khaldoun.fr.html
 Hotel Afef ,  Tunis   ," Doté d'un salon commun, l'Hotel Afef propose des hébergements à Tunis, à proximité du palais de Dar Bach Hamba et du théâtre municipal de Tunis.  "," 1,1 km du centre ",https://www.booking.com/hotel/tn/afef.fr.html
 Pretty and independent Apartment located in Tunis city ,  Tunis   ," Doté d'un restaurant, d'un jardin et d'une terrasse, le Pretty and independent Apartment propose un hébergement avec une connexion Wi-Fi gratuite et une vue sur le jardin à Tunis.  ", 5 km du centre ,https://www.booking.com/hotel/tn/pretty-and-independent-apartment-located-in-tunis-city.fr.html
 Hotel Lac Leman ,"  Les Berges du Lac, Tunis   "," Situé à Tunis, à 9 km de l'avenue Habib Bourguiba, l'Hotel Lac Leman propose des hébergements avec restaurant, parking privé, bar et salon commun. Il possède des chambres familiales et une terrasse.  ", 6 km du centre ,https://www.booking.com/hotel/tn/lac-leman-tunis.fr.html
 Dar khaled ,  Tunis   ," Set in Tunis, less than 1 km from Corniche Beach and 2.6 km from Amilcar Beach, Dar khaled offers a garden and air conditioning.  ", 15 km du centre ,https://www.booking.com/hotel/tn/dar-khaled.fr.html
 Hôtel Lafayette ,  Tunis   ," Situé à Tunis, à 1,6 km de la cathédrale Saint-Vincent de Paul, l'Hôtel Lafayette propose un restaurant, un parking privé gratuit, un bar, un salon commun, un jardin et une terrasse.  "," 1,6 km du centre ",https://www.booking.com/hotel/tn/lafayette.fr.html
 Hotel Saint Georges Tunis ,  Tunis   , L'hôtel Saint Georges propose des hébergements simples et confortables à proximité de toutes les principales attractions de la capitale animée de Tunis.  ," 1,3 km du centre ",https://www.booking.com/hotel/tn/saint-georges.fr.html
 Hotel Métropole Résidence ,"  Bab Bhar, Tunis   "," L'Hôtel Métropole Résidence propose des chambres équipées de la climatisation et d'une télévision par satellite à écran plat dans le quartier de la porte Bab El Bhar, à Tunis.  ", 800 m du centre ,https://www.booking.com/hotel/tn/metropole-residence.fr.html
 Maison du 18ème Siècle ,"  Médina, Tunis   "," Située à Tunis, à 300 mètres du mausolée Tourbet El Bey et à 400 mètres de la mosquée de la Kasbah, la Maison du 18ème Siècle propose des hébergements climatisés avec vue sur la ville et connexion... "," 1,6 km du centre ",https://www.booking.com/hotel/tn/maison-du-18eme-siecle.fr.html
 Hotel Roma ,  Tunis   ," Situé à Tunis, à 200 mètres de la place de la Victoire, l'Hotel Roma propose des hébergements climatisés, un salon commun, un restaurant, une réception ouverte 24h/24 et un service d’étage.  ", 900 m du centre ,https://www.booking.com/hotel/tn/roma.fr.html
 Acropole Tunis ,"  Les Berges du Lac, Tunis   ", L'Acropole Tunis est situé dans le quartier d'affaires des Berges du Lac.  , 6 km du centre ,https://www.booking.com/hotel/tn/acropole-tunis.fr.html
 Hotel New Oscars ,"  Centre de Tunis, Tunis   "," New Oscars Hotel est situé dans le centre de Tunis, à 400 mètres de l'avenue Habib Bourguiba et à 500 mètres » de la médina. Sur place, vous pourrez profiter d'un restaurant à la carte et de 3 bars.  ", 400 m du centre ,https://www.booking.com/hotel/tn/new-oscars.fr.html
 Golden Tulip El Mechtel ,  Tunis   ," L'Hotel El Mechtel est un établissement 4 étoiles confortable et fonctionnel, situé au cœur de Tunis, à proximité du centre d'affaires ainsi que du joli et paisible parc du Belvédère.  "," 1,9 km du centre ",https://www.booking.com/hotel/tn/el-mechtel-tunis.fr.html
 Golf Royal Hotel ,"  Centre de Tunis, Tunis   "," Le Golf Royal Hotel est situé dans le centre de Tunis, près de l'avenue Habib Bourguiba et à 5 minutes à pied de la médina.  ", 300 m du centre ,https://www.booking.com/hotel/tn/golf-royal.fr.html
