Hotel_name,Adresse,Distance
 La Cigale Tabarka ,  Tabarka   ," 3,1 km du centre "
 Thabraca Thalasso & Diving ,  Tabarka   ," 2,6 km du centre "
 Hôtel LES MIMOSAS TABARKA ,  Tabarka   , 750 m du centre 
 Marina Prestige Tabarka ,  Tabarka   , 250 m du centre 
 Appartements Aloui Foued ,  Tabarka   , 550 m du centre 
 Location Vacance TABARKA ,  Tabarka   , 6 km du centre 
 Residence Panorama ,  Aïn Draham   , 20 km du centre 
 Tabarka sejour ,  Aïn Draham   , 18 km du centre 
